descrição;preço
MEDALHA DE SÃO BENTO;R$70
TERÇO;R$35
TERÇO;R$30
TERÇO DE PULSO;R$25
TERÇO DE SÃO MIGUEL;R$25
PERSONALIZACAO DE TERCO;R$5
DEZENA DE MÃO FRATERNIDADE;R$35
DEZENA CHAVEIRO;R$30
CANETA AMIGURUMI;R$20
PULSEIRA MACRAMÊ;R$20
PULSEIRA;R$15
KIT QUARESMA DE SÃO MIGUEL;R$125
QUADRO SÃO MIGUEL;R$35
LIVRO QUARESMA DE SÃO MIGUEL;R$30
KIT ÁGUA E SAL;R$20
MEDALHA E CRUZ DE PESCOÇO;R$15
MEDALHA SÃO MIGUEL G;R$8
MEDALHA SÃO MIGUEL P;R$5
VELA;R$10
VELA COM BASE;R$15
VELA ARTESANAL;R$50
ADORNO DE PORTA;R$35
